OrderID,Customer,Gender,Age,City,Product,Category,Quantity,Price,Date
1001,Ravi,Male,23,Hyderabad,Laptop,Electronics,1,55000,2025-01-02
1002,Sneha,Female,28,Chennai,Mobile,Electronics,2,20000,2025-01-03
1003,Amit,Male,,Delhi,Headphones,Accessories,1,2000,2025-01-05
1004,Priya,Female,35,Mumbai,Keyboard,Accessories,1,1500,2025-01-06
1005,Rahul,Male,45,Bangalore,Laptop,Electronics,1,60000,2025-01-07
1005,Rahul,Male,45,Bangalore,Laptop,Electronics,1,60000,2025-01-07
1006,Anjali,Female,29,Pune,Mouse,Accessories,3,700,2025-01-08
1007,Kiran,Male,31,Hyderabad,Monitor,Electronics,1,12000,2025-01-09
1008,Meena,Female,26,Delhi,Mobile,Electronics,1,18000,2025-01-10
1009,Arjun,Male,120,Mumbai,Laptop,Electronics,1,65000,2025-01-11
1010,Divya,Female,27,Chennai,Tablet,Electronics,2,15000,2025-01-12
